variable,correlation,p_value
ranking,-0.9847810602171796,0.0
gdp_per_capita,0.6313332200250643,7.863983647954683e-168
social_support,0.7439017940920244,7.735596046520037e-265
healthy_life_expectancy,0.661706449746547,1.0093092900973652e-189
freedom_to_make_life_choices,0.5912966718836813,2.576184403445924e-142
generosity,0.1055020927211224,4.188362242822722e-05
perceptions_of_corruption,0.07168326432483171,0.005446038237003717
